# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.storage.jps.conf.reader.load.component.ms,1716626893192000000,1716626927855000000,2
jps.save.global.entities.ms,1716626893192000000,1716626927855000000,1
jps.global.handle.changed.events.ms,1716626893192000000,1716626927855000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1716626893192000000,1716626927855000000,426
workspaceModel.mutableEntityStorage.remove.entity.ms,1716626893192000000,1716626927855000000,0
jps.global.get.libraries.ms,1716626893192000000,1716626927855000000,1
workspaceModel.load.cache.from.file.ms,1716626893192000000,1716626927855000000,0
jps.global.get.library.by.name.ms,1716626893192000000,1716626927855000000,0
jps.artifact.entities.serializer.save.entities.ms,1716626893192000000,1716626927855000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1716626893192000000,1716626927855000000,10
jps.facet.change.listener.before.change.events.ms,1716626893192000000,1716626927855000000,0
jps.library.entities.serializer.save.entities.ms,1716626893192000000,1716626927855000000,0
jps.library.entities.serializer.load.entities.ms,1716626893192000000,1716626927855000000,0
workspaceModel.moduleBridge.before.changed.ms,1716626893192000000,1716626927855000000,0
jps.artifact.entities.serializer.load.entities.ms,1716626893192000000,1716626927855000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1716626893192000000,1716626927855000000,0
workspaceModel.global.updates.ms,1716626893192000000,1716626927855000000,0
jps.reload.project.entities.ms,1716626893192000000,1716626927855000000,0
jps.module.iml.entities.serializer.load.entities.ms,1716626893192000000,1716626927855000000,0
jps.apply.loaded.storage.ms,1716626893192000000,1716626927855000000,89
workspaceModel.moduleManagerBridge.load.all.modules.ms,1716626893192000000,1716626927855000000,3
workspaceModel.mutableEntityStorage.has.same.entities.ms,1716626893192000000,1716626927855000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1716626893192000000,1716626927855000000,2
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1716626893192000000,1716626927855000000,0
jps.save.changed.project.entities.ms,1716626893192000000,1716626927855000000,37
jps.global.get.library.ms,1716626893192000000,1716626927855000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1716626893192000000,1716626927855000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1716626893192000000,1716626927855000000,14
workspaceModel.delayed.project.synchronizer.sync.ms,1716626893192000000,1716626927855000000,0
jps.global.initialize.library.bridges.ms,1716626893192000000,1716626927855000000,0
workspaceModel.save.cache.to.file.ms,1716626893192000000,1716626927855000000,319
jps.project.serializers.load.ms,1716626893192000000,1716626927855000000,2
workspaceModel.mutableEntityStorage.add.entity.ms,1716626893192000000,1716626927855000000,16
jps.facet.change.listener.process.change.events.ms,1716626893192000000,1716626927855000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1716626893192000000,1716626927855000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1716626893192000000,1716626927855000000,94
workspaceModel.moduleManagerBridge.load.module.ms,1716626893192000000,1716626927855000000,0
jps.global.initialize.library.bridges.after.loading.ms,1716626893192000000,1716626927855000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1716626893192000000,1716626927855000000,0
jps.modifiable.module.model.bridge.load.module.ms,1716626893192000000,1716626927855000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1716626893192000000,1716626927855000000,8
workspaceModel.global.updates.count,1716626893192000000,1716626927855000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1716626893192000000,1716626927855000000,2
workspaceModel.mutableEntityStorage.collect.changes.ms,1716626893192000000,1716626927855000000,0
jps.modifiable.module.model.bridge.disposing.ms,1716626893192000000,1716626927855000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1716626893192000000,1716626927855000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1716626893192000000,1716626927855000000,0
workspaceModel.loading.total.ms,1716626893192000000,1716626927855000000,27
workspaceModel.updates.ms,1716626893192000000,1716626927855000000,106
workspaceModel.pre.handlers.ms,1716626893192000000,1716626927855000000,0
workspaceModel.updates.precise.ms,1716626893192000000,1716626927855000000,7
workspaceModel.to.snapshot.ms,1716626893192000000,1716626927855000000,0
workspaceModel.replace.project.model.ms,1716626893192000000,1716626927855000000,0
workspaceModel.initializing.ms,1716626893192000000,1716626927855000000,2
workspaceModel.loading.from.cache.ms,1716626893192000000,1716626927855000000,16
workspaceModel.update.unloaded.entities.ms,1716626893192000000,1716626927855000000,0
workspaceModel.check.recursive.update.ms,1716626893192000000,1716626927855000000,1
workspaceModel.collect.changes.ms,1716626893192000000,1716626927855000000,0
workspaceModel.updates.count,1716626893192000000,1716626927855000000,5
workspaceModel.init.bridges.ms,1716626893192000000,1716626927855000000,2
FilePageCache.pageLoads,1716626893192000000,1716626927855000000,0
DirectByteBufferAllocator.reclaimed,1716626893192000000,1716626927855000000,15
FilePageCache.pageLoadsAboveSizeThreshold,1716626893192000000,1716626927855000000,0
FilePageCache.maxRegisteredFiles,1716626893192000000,1716626927855000000,666
FilePageCache.uncachedFileAccess,1716626893192000000,1716626927855000000,0
DirectByteBufferAllocator.misses,1716626893192000000,1716626927855000000,0
DirectByteBufferAllocator.disposed,1716626893192000000,1716626927855000000,238
StorageLockContext.competingThreads.90P,1716626893192000000,1716626927855000000,0
DirectByteBufferAllocator.hits,1716626893192000000,1716626927855000000,0
FilePageCache.capacityInBytes,1716626893192000000,1716626927855000000,524288000
FilePageCache.maxCacheSizeInBytes,1716626893192000000,1716626927855000000,302022656
StorageLockContext.competingThreads.avg,1716626893192000000,1716626927855000000,0.0
FilePageCache.pageFastCacheHits,1716626893192000000,1716626927855000000,55
FilePageCache.totalPageLoadsUs,1716626893192000000,1716626927855000000,0
FilePageCache.totalPageDisposalsUs,1716626893192000000,1716626927855000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1716626893192000000,1716626927855000000,52461568
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1716626893192000000,1716626927855000000,52461568
FilePageCache.pageHits,1716626893192000000,1716626927855000000,0
FilePageCache.disposedBuffers,1716626893192000000,1716626927855000000,253
StorageLockContext.competingThreads.max,1716626893192000000,1716626927855000000,0
